true_class,total,correct,accuracy
Abra,3.0,2.0,0.6666666666666666
Aerodactyl,3.0,1.0,0.3333333333333333
Alakazam,3.0,0.0,0.0
Alolan Sandslash,1.0,0.0,0.0
Arbok,3.0,2.0,0.6666666666666666
Arcanine,3.0,0.0,0.0
Articuno,3.0,0.0,0.0
Beedrill,3.0,0.0,0.0
Bellsprout,3.0,1.0,0.3333333333333333
Blastoise,3.0,0.0,0.0
Bulbasaur,3.0,0.0,0.0
Butterfree,3.0,0.0,0.0
Caterpie,3.0,0.0,0.0
Chansey,3.0,1.0,0.3333333333333333
Charizard,3.0,1.0,0.3333333333333333
Charmander,3.0,1.0,0.3333333333333333
Charmeleon,3.0,2.0,0.6666666666666666
Clefable,3.0,1.0,0.3333333333333333
Clefairy,3.0,0.0,0.0
Cloyster,3.0,1.0,0.3333333333333333
Cubone,3.0,1.0,0.3333333333333333
Dewgong,3.0,2.0,0.6666666666666666
Diglett,3.0,0.0,0.0
Ditto,3.0,0.0,0.0
Dodrio,3.0,1.0,0.3333333333333333
Doduo,3.0,0.0,0.0
Dragonair,3.0,1.0,0.3333333333333333
Dragonite,3.0,1.0,0.3333333333333333
Dratini,3.0,1.0,0.3333333333333333
Drowzee,3.0,1.0,0.3333333333333333
Dugtrio,3.0,1.0,0.3333333333333333
Eevee,3.0,1.0,0.3333333333333333
Ekans,3.0,2.0,0.6666666666666666
Electabuzz,3.0,3.0,1.0
Electrode,3.0,0.0,0.0
Exeggcute,3.0,0.0,0.0
Exeggutor,3.0,2.0,0.6666666666666666
Farfetchd,3.0,1.0,0.3333333333333333
Fearow,3.0,1.0,0.3333333333333333
Flareon,3.0,1.0,0.3333333333333333
Gastly,3.0,1.0,0.3333333333333333
Gengar,3.0,0.0,0.0
Geodude,3.0,1.0,0.3333333333333333
Gloom,3.0,3.0,1.0
Golbat,3.0,2.0,0.6666666666666666
Goldeen,3.0,0.0,0.0
Golduck,3.0,3.0,1.0
Golem,3.0,0.0,0.0
Graveler,3.0,1.0,0.3333333333333333
Grimer,3.0,0.0,0.0
Growlithe,3.0,0.0,0.0
Gyarados,3.0,0.0,0.0
Haunter,3.0,1.0,0.3333333333333333
Hitmonchan,3.0,0.0,0.0
Hitmonlee,3.0,1.0,0.3333333333333333
Horsea,3.0,1.0,0.3333333333333333
Hypno,3.0,2.0,0.6666666666666666
Ivysaur,3.0,2.0,0.6666666666666666
Jigglypuff,3.0,1.0,0.3333333333333333
Jolteon,3.0,1.0,0.3333333333333333
Jynx,3.0,2.0,0.6666666666666666
Kabuto,3.0,2.0,0.6666666666666666
Kabutops,3.0,0.0,0.0
Kadabra,3.0,1.0,0.3333333333333333
Kakuna,3.0,0.0,0.0
Kangaskhan,3.0,0.0,0.0
Kingler,3.0,2.0,0.6666666666666666
Koffing,3.0,1.0,0.3333333333333333
Krabby,3.0,1.0,0.3333333333333333
Lapras,3.0,0.0,0.0
Lickitung,3.0,1.0,0.3333333333333333
Machamp,3.0,1.0,0.3333333333333333
Machoke,3.0,1.0,0.3333333333333333
Machop,3.0,1.0,0.3333333333333333
Magikarp,3.0,2.0,0.6666666666666666
Magmar,3.0,1.0,0.3333333333333333
Magnemite,3.0,1.0,0.3333333333333333
Magneton,3.0,2.0,0.6666666666666666
Mankey,3.0,0.0,0.0
Marowak,3.0,0.0,0.0
Meowth,3.0,0.0,0.0
Metapod,3.0,2.0,0.6666666666666666
Mew,3.0,1.0,0.3333333333333333
Mewtwo,3.0,0.0,0.0
Moltres,3.0,0.0,0.0
MrMime,3.0,1.0,0.3333333333333333
Muk,3.0,0.0,0.0
Nidoking,3.0,0.0,0.0
Nidoqueen,3.0,1.0,0.3333333333333333
Nidorina,3.0,2.0,0.6666666666666666
Nidorino,3.0,1.0,0.3333333333333333
Ninetales,3.0,0.0,0.0
Oddish,3.0,2.0,0.6666666666666666
Omanyte,3.0,1.0,0.3333333333333333
Omastar,3.0,0.0,0.0
Onix,3.0,0.0,0.0
Paras,3.0,2.0,0.6666666666666666
Parasect,3.0,1.0,0.3333333333333333
Persian,1.0,0.0,0.0
Pidgeot,3.0,0.0,0.0
Pidgeotto,3.0,1.0,0.3333333333333333
Pidgey,3.0,2.0,0.6666666666666666
Pikachu,3.0,1.0,0.3333333333333333
Pinsir,3.0,2.0,0.6666666666666666
Poliwag,3.0,0.0,0.0
Poliwhirl,3.0,0.0,0.0
Poliwrath,3.0,0.0,0.0
Ponyta,3.0,0.0,0.0
Porygon,3.0,0.0,0.0
Primeape,3.0,0.0,0.0
Psyduck,3.0,0.0,0.0
Raichu,3.0,0.0,0.0
Rapidash,3.0,1.0,0.3333333333333333
Raticate,3.0,0.0,0.0
Rattata,3.0,0.0,0.0
Rhydon,3.0,1.0,0.3333333333333333
Rhyhorn,3.0,0.0,0.0
Sandshrew,3.0,1.0,0.3333333333333333
Sandslash,3.0,0.0,0.0
Scyther,1.0,0.0,0.0
Seadra,3.0,1.0,0.3333333333333333
Seaking,3.0,1.0,0.3333333333333333
Seel,3.0,1.0,0.3333333333333333
Shellder,3.0,1.0,0.3333333333333333
Slowbro,1.0,0.0,0.0
Slowpoke,3.0,0.0,0.0
Snorlax,3.0,1.0,0.3333333333333333
Spearow,3.0,1.0,0.3333333333333333
Squirtle,3.0,0.0,0.0
Starmie,3.0,1.0,0.3333333333333333
Staryu,3.0,1.0,0.3333333333333333
Tangela,3.0,1.0,0.3333333333333333
Tauros,3.0,0.0,0.0
Tentacool,3.0,2.0,0.6666666666666666
Tentacruel,3.0,1.0,0.3333333333333333
Vaporeon,3.0,0.0,0.0
Venomoth,3.0,2.0,0.6666666666666666
Venonat,3.0,2.0,0.6666666666666666
Venusaur,3.0,1.0,0.3333333333333333
Victreebel,3.0,3.0,1.0
Vileplume,3.0,1.0,0.3333333333333333
Voltorb,3.0,0.0,0.0
Vulpix,3.0,1.0,0.3333333333333333
Wartortle,3.0,2.0,0.6666666666666666
Weedle,3.0,2.0,0.6666666666666666
Weepinbell,3.0,0.0,0.0
Weezing,3.0,1.0,0.3333333333333333
Wigglytuff,3.0,3.0,1.0
Zapdos,3.0,1.0,0.3333333333333333
Zubat,3.0,1.0,0.3333333333333333
